,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
4060,-4.145335662101071e-13,-8.636116395974261e-13,0.25000000000086486,-4.1453338868204775e-12,4.7376861550102734e-07,0.2500000000008649,1.9999973191965341,-6.908880505189649e-11,2.2071039306200595e-06,0.2499995262313838
4061,-4.145335613819289e-13,-8.636116292314151e-13,0.25000000000086486,-4.145333851104121e-12,4.7043028120617097e-07,0.2500000000008649,1.9999973380869707,-6.908880511047101e-11,2.1915518283853124e-06,0.2499995295697181
4062,-4.145335565881624e-13,-8.636116189388189e-13,0.25000000000086486,-4.145333815686364e-12,4.6711546645612786e-07,0.2500000000008649,1.9999973568443181,-6.90888051685806e-11,2.1761092957080215e-06,0.24999953288453286
4063,-4.1453355182863676e-13,-8.636116087193531e-13,0.25000000000086486,-4.14533378057563e-12,4.6382400552578093e-07,0.2500000000008649,1.9999973754695142,-6.908880522621779e-11,2.1607755605251816e-06,0.2499995361759938
4064,-4.145335471031804e-13,-8.636115985727493e-13,0.25000000000086486,-4.145333745781648e-12,4.6055573384925685e-07,0.2500000000008649,1.9999973939634903,-6.908880528337374e-11,2.14554985617443e-06,0.24999953944426548
4065,-4.14533542411621e-13,-8.636115884987568e-13,0.25000000000086486,-4.1453337113155345e-12,4.573104880105889e-07,0.2500000000008649,1.9999974123271709,-6.908880534003836e-11,2.1304314213505453e-06,0.2499995426895113
4066,-4.1453353775378443e-13,-8.636115784971409e-13,0.25000000000086486,-4.145333677189855e-12,4.5408810573436647e-07,0.2500000000008649,1.9999974305614745,-6.908880539620008e-11,2.1154195000618865e-06,0.24999954591189358
4067,-4.145335331294948e-13,-8.636115685676841e-13,0.25000000000086486,-4.145333643418702e-12,4.5088842587639814e-07,0.2500000000008649,1.9999974486673127,-6.908880545184588e-11,2.1005133415868893e-06,0.24999954911157343
4068,-4.1453352853843e-13,-8.636115587090452e-13,0.25000000000086486,-4.145333609873256e-12,4.477112888443696e-07,0.2500000000008649,1.9999974666455889,-6.908880550710654e-11,2.085712202433643e-06,0.24999955228871049
4069,-4.1453352398029746e-13,-8.63611548920157e-13,0.25000000000086486,-4.145333576459032e-12,4.4455653606127927e-07,0.2500000000008649,1.9999974844972002,-6.908880556207841e-11,2.0710153438403698e-06,0.24999955544346325
4070,-4.145335194550001e-13,-8.636115392015492e-13,0.25000000000086486,-4.145333543283629e-12,4.414240094571148e-07,0.2500000000008649,1.9999975022230414,-6.908880561665453e-11,2.0564220294074564e-06,0.24999955857598985
