,S1,C1,E1,P1,C2,E2,S2,C3,P2,E3
2729,-1.256025597029006e-11,-2.946822972954432e-11,0.2500000000294677,-6.763090081637848e-12,0.0015697551407846473,0.25000000000130435,0.9910687132498958,-5.170610203054701e-11,0.007361531661027851,0.2484302448592155
2730,-1.223069819115525e-11,-2.868721460599825e-11,0.2500000000286867,-6.867172722021926e-12,0.0015588150146619766,0.25000000000132905,0.9911312969205143,-5.2687904595543e-11,0.007309888117513789,0.24844118498533815
2731,-1.1910568078412443e-11,-2.7928542599009535e-11,0.25000000002792805,-6.968258451797359e-12,0.0015479503091815482,0.250000000001353,0.9911934444089857,-5.364164393220006e-11,0.007258605335476534,0.2484520496908186
2732,-1.1599595927558668e-11,-2.719157451073277e-11,0.2500000000271911,-7.0664333428291104e-12,0.0015371605158358461,0.2500000000013763,0.9912551587225503,-5.4568122460699755e-11,0.007207680816184166,0.24846283948416428
2733,-1.1297519890699534e-11,-2.6475689763825688e-11,0.2500000000264752,-7.161780949349507e-12,0.001526445129388598,0.2500000000013989,0.991316442848156,-5.546811923893877e-11,0.007157112077925772,0.24847355487061154
2734,-1.1004085196350458e-11,-2.5780284552177933e-11,0.2500000000257798,-7.2543825602995835e-12,0.0015158036478504348,0.25000000000142086,0.9913772997526451,-5.6342392279404784e-11,0.007106896655849135,0.24848419635214972
2735,-1.0719044628377142e-11,-2.5104772976138888e-11,0.2500000000251043,-7.344317044037692e-12,0.0015052355724671828,0.2500000000014422,0.9914377323828129,-5.7191677127615587e-11,0.007057032101913865,0.24849476442753296
2736,-1.044215819033514e-11,-2.4448586246938214e-11,0.2500000000244481,-7.431660956677178e-12,0.0014947404076999565,0.2500000000014629,0.9914977436655493,-5.801668785924899e-11,0.007007515984769603,0.2485052595923002
2737,-1.0173192363688146e-11,-2.381117092865527e-11,0.2500000000238107,-7.516488780991875e-12,0.001484317661200612,0.25000000000148304,0.9915573365080265,-5.881811928415319e-11,0.006958345889593226,0.24851568233879953
2738,-9.911920545258549e-12,-2.3191989974948775e-11,0.2500000000231915,-7.598872785239387e-12,0.0014739668438003783,0.2500000000015026,0.991616513797755,-5.959664564695599e-11,0.006909519418043468,0.24852603315619978
2739,-9.658122767085014e-12,-2.259052206510295e-11,0.25000000002259004,-7.678883113289703e-12,0.00146368746949043,0.25000000000152156,0.9916752784027209,-6.035292145957895e-11,0.006861034188143861,0.24853631253050973
2740,-9.411584987516006e-12,-2.200625992389534e-11,0.2500000000220058,-7.756588013398357e-12,0.0014534790553972841,0.25000000000154,0.9917336331715727,-6.10875836074556e-11,0.006812887834119785,0.24854652094460286
2741,-9.172099498655679e-12,-2.14387112872716e-11,0.25000000002143824,-7.832053705980983e-12,0.0014433411217716725,0.2500000000015579,0.9917915809336773,-6.180125013971398e-11,0.0067650780063545435,0.24855665887822848
2742,-8.939464691912907e-12,-2.0887398346696238e-11,0.2500000000208869,-7.905344458950475e-12,0.001433273191969698,0.2500000000015753,0.9918491244992499,-6.249452096607258e-11,0.006717602371277169,0.24856672680803046
2743,-8.7134843753243e-12,-2.035185613108273e-11,0.2500000000203514,-7.976522808770975e-12,0.0014232747924279735,0.25000000000159217,0.9919062666595437,-6.316797988435577e-11,0.006670458611198412,0.24857672520757218
2744,-8.493968153294345e-12,-1.9831633406890137e-11,0.25000000001983114,-8.045649436935984e-12,0.001413345452652864,0.25000000000160855,0.991963010186903,-6.382219345333295e-11,0.006623644424268503,0.24858665454734727
2745,-8.280731250723468e-12,-1.932629226129435e-11,0.2500000000193258,-8.112783226756384e-12,0.001403484705202387,0.2500000000016245,0.992019357834886,-6.445771151527309e-11,0.006577157524371487,0.24859651529479776
2746,-8.073593836812605e-12,-1.88354064994843e-11,0.25000000001883493,-8.177981481181545e-12,0.001393692085660877,0.25000000000163997,0.992075312338458,-6.5075069205112e-11,0.006530995640958305,0.24860630791433927
2747,-7.872381386059035e-12,-1.8358562500309675e-11,0.2500000000183581,-8.241299805979514e-12,0.0013839671326286284,0.25000000000165495,0.9921308764140417,-6.567478587853244e-11,0.0064851565190066135,0.2486160328673715
